NumberOfSubjects,Fatal,SubjectArmed,SubjectRace,SubjectGender,SubjectAge,NumberOfOfficers,OfficerRace,OfficerGender
1,N,U,B,M,20-29,3,L;W;L,M;M;M
1,N,U,B,M,0-19,1,B,F
1,N,U,L,M,30-39,2,L;W,M;M
1,N,U,L,M,30-39,1,L,M
1,N,U,B,M,28,2,W;A,M;M
1,N,U,W,U,U,2,W;W,M;M
1,N,U,W,U,U,2,W;W,M;M
1,F,Y,B,M,19,1,W,M
1,F,U,B,M,23,2,B;B,M;M
1,F,U,B,M,27,1,W,F
1,F,Y,B,M,37,2,B;W,M;M
1,N,U,W,U,U,1,W,M
1,N,U,W,U,U,1,W,M
1,F,Y,B,M,33,6,L;W;W;W;W;B,F;M;F;M;M;M
1,N,U,B,M,20-29,1,B,M
1,N,U,B,M,20-29,1,B,M
1,F,U,B,M,23,1,L,F
1,N,Y,B,M,21,1,W,M
1,N,U,B,M,50-59,1,B,F
1,N,U,B,M,0-19,1,B,M
1,N,U,B,M,50-59,1,W,M
1,N,U,B,U,U,2,W;L,M;M
1,U,U,B,U,U,2,W;L,M;M
1,U,U,W,M,40-49,1,A,M
1,N,U,L,M,0-19,2,W;L,M;M
1,N,U,B,M,0-19,1,L,F
1,N,U,B,M,20-29,2,L;W,M;M
1,F,U,B,M,20-29,1,W,M
1,N,U,B,M,20-29,1,W,F
1,N,U,B,M,20-29,1,L,M
1,F,U,B,U,U,1,L,M
1,F,U,B,U,U,1,L,M
1,N,U,B,M,20-29,1,W,M
1,F,Y,B,M,24,3,L;L;L,M;M;M
1,N,U,B,M,20-29,1,L,M
1,N,U,L,M,20-29,1,W,F
1,N,U,L,F,30-39,2,L;W,M;F
1,N,U,B,M,20-29,1,W,F
1,N,U,W,F,0-19,2,L;B,M;M
1,N,U,L,M,20-29,1,W,M
1,N,U,B,M,20-29,1,W,M
1,N,U,L,M,20-29,1,L,M
1,N,U,B,M,0-19,1,L,M
1,N,U,B,M,30-39,2,L;L,M;M
1,N,Y,B,U,U,3,W;L;L,M;M;M
1,N,Y,B,U,U,3,W;L;L,M;M;M
1,U,Y,B,U,U,3,W;L;L,M;M;M
1,N,U,B,M,20-29,1,B,M
1,N,U,L,M,20-29,1,W,M
1,N,U,L,U,U,1,L,M
1,N,U,L,U,U,1,L,M
1,F,U,B,M,56,2,W;W,M;M
1,N,U,B,M,30-39,1,L,M
1,N,U,L,M,0-19,1,W,M
1,F,U,L,U,U,3,L;W;W,M;M;M
1,N,U,L,U,U,3,L;W;W,M;M;M
1,N,U,L,U,U,3,L;W;W,M;M;M
1,N,U,L,M,0-19,1,W,M
